Number of stations is:
756 
     nw stn lat lon:
AK _GHO  61.771  -148.926
IW SNOW  43.460  -110.754
AV ISLZ  54.725  -163.713
AV SPBL  61.376  -151.895
CC _STD  46.237  -122.224
AV AKMO  54.090  -166.013
N4 Y45B  33.866  -89.543
N4 L34B  41.967  -96.376
OO AXBA  45.820  -129.737
AK _SSP  60.179  -142.839
N4 T45B  37.016  -88.646
IM _TKL  35.658  -83.774
TA K17K  62.716  -158.301
US _ELK  40.745  -115.239
AK PTPK  61.187  -142.467
TA D17K  67.699  -163.083
PR AGPR  18.467  -67.111
AK _KLU  61.492  -145.923
TA E24K  68.075  -148.487
N4 KMSC  35.142  -81.333
IU _WCI  38.229  -86.294
LD MMNY  42.732  -77.907
AK _BAL  61.036  -142.346
CI _MPM  36.058  -117.489
N4 KSCO  39.011  -102.627
TA N14K  59.924  -161.685
TA M30M  62.576  -136.793
AK _PNL  59.667  -139.401
AV WACK  61.986  -144.331
TA H23K  65.825  -149.543
NM UTMT  36.350  -88.864
AK _DOT  63.648  -144.070
TA I27K  65.603  -141.615
TA G30M  66.981  -136.222
TA P29M  59.630  -137.738
TA G22K  66.921  -151.507
CN _BBB  52.185  -128.113
AV KABU  58.270  -155.284
PY BPH0  33.613  -116.460
CC WIFE  44.060  -121.817
US _BOZ  45.597  -111.630
TA V35K  55.328  -131.615
TA R18K  57.566  -154.452
US _LAO  46.688  -106.223
TA G27K  66.809  -141.655
AK NIKH  52.972  -168.855
TA M14K  60.752  -161.960
IW MFID  43.415  -115.828
IU _SJG  18.109  -66.150
AK MCAR  61.384  -143.024
OO AXEC  45.940  -129.974
CI _BC3  33.655  -115.454
AK _UNV  53.845  -166.505
N4 U49A  36.513  -85.780
TA G29M  66.912  -138.022
AK NEA2  64.593  -149.069
N4 R32B  38.422  -98.711
N4 Q56A  39.040  -79.187
AK _TGL  60.754  -142.829
AV _ZRO  54.091  -165.980
N4 M44A  41.388  -88.043
TA C24K  69.720  -148.701
TA L15K  61.678  -161.487
CI _MUR  33.600  -117.195
TA L27K  63.062  -141.827
TA P23K  59.998  -147.403
N4 237B  32.002  -95.808
US _OXF  34.512  -89.409
TA D24K  69.153  -148.823
VE BAUV  8.943  -68.041
AK FALS  54.856  -163.418
TA J14K  62.749  -163.554
N4 T50A  37.020  -84.838
CI _CHF  34.333  -118.026
